author_id,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
10,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0030000000000000027,0.009500000000000008,0.007000000000000006,0.01200000000000001,0.04099999999999998,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.987,0.0025000000000000022,0.005500000000000005,0.0030000000000000027,0.0675,0.9964999999999999
11,0.5,0.5,0.5,0.5,0.5,0.5,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,1.0,1.0,1.0,1.0,0.007500000000000007,0.007500000000000007,0.0005000000000000004,0.0040000000000000036,0.0005000000000000004,0.004500000000000004,0.025500000000000023,0.0005000000000000004,0.0005000000000000004,0.0010000000000000009,0.027500000000000024,0.0015000000000000013,0.0025000000000000022,0.0010000000000000009,0.0010000000000000009,0.028500000000000025,0.08100000000000002,0.9915,0.999
12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01200000000000001,0.01200000000000001,0.01200000000000001,0.01200000000000001,0.01200000000000001,0.01200000000000001,0.01200000000000001,0.986,0.986,0.986,0.986,0.9995,0.9510000000000001,0.0010000000000000009,0.07350000000000001,0.013000000000000012,0.01150000000000001,0.0010000000000000009,0.199,0.0015000000000000013,0.008000000000000007,0.004500000000000004,0.008000000000000007,0.003500000000000003,0.0005000000000000004,0.018000000000000016,0.01200000000000001
13,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0005000000000000004,0.8574999999999999,0.0005000000000000004,0.0015000000000000013,0.16199999999999998,0.0005000000000000004,0.0020000000000000018,0.0010000000000000009,0.0030000000000000027,0.0010000000000000009,0.0005000000000000004,0.009500000000000008,0.995,0.20850000000000002,0.0025000000000000022
14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.009000000000000008,0.006000000000000005,0.9079999999999999,0.003500000000000003,0.0005000000000000004,0.004500000000000004,0.004500000000000004,0.0005000000000000004,0.004500000000000004,0.0010000000000000009,0.0,0.0030000000000000027,0.003500000000000003
15,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.007500000000000007,0.0010000000000000009,0.0010000000000000009,0.244,0.043999999999999984,0.006000000000000005,0.999,0.02300000000000002,0.006000000000000005,0.003500000000000003,0.9005000000000001,0.0010000000000000009,0.009500000000000008,0.016000000000000014,0.0015000000000000013,0.0030000000000000027,0.0040000000000000036
16,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0005000000000000004,0.0010000000000000009,0.0005000000000000004,0.08700000000000002,0.0005000000000000004,0.9764999999999999,0.0,0.0,0.008000000000000007,0.9995,0.0020000000000000018,0.0005000000000000004,0.0050000000000000044,0.0,0.0005000000000000004
17,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.004500000000000004,0.0005000000000000004,0.23349999999999999,0.006000000000000005,0.0050000000000000044,0.0030000000000000027,0.0005000000000000004,0.0015000000000000013,0.9764999999999999,0.003500000000000003,0.0005000000000000004,0.015000000000000013,0.9904999999999999,0.006000000000000005,0.004500000000000004,0.0040000000000000036
18,0.5,0.5,0.5,0.5,0.5,0.9525,0.0005000000000000004,0.009500000000000008,0.0020000000000000018,0.9844999999999999,0.11449999999999999,0.0020000000000000018,0.9964999999999999,0.008000000000000007,0.0,0.0020000000000000018,0.004500000000000004,0.010000000000000009,0.05099999999999999,0.0020000000000000018,0.019000000000000017,0.009500000000000008,0.014000000000000012,0.0005000000000000004,0.0005000000000000004,0.009000000000000008,0.0,0.9895,0.0030000000000000027,0.0015000000000000013,0.0040000000000000036,0.0010000000000000009,0.0010000000000000009,0.0025000000000000022,0.010000000000000009
19,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0020000000000000018,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0005000000000000004,0.0005000000000000004,0.22649999999999998,0.15200000000000002,0.016500000000000015,0.006500000000000006,0.0010000000000000009,0.0005000000000000004,0.0005000000000000004,0.0005000000000000004,0.0010000000000000009,0.9884999999999999,0.9984999999999999,0.0005000000000000004,0.003500000000000003
20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0005000000000000004,0.0615,0.0010000000000000009,0.0025000000000000022,0.0040000000000000036,0.0005000000000000004,0.22149999999999997,0.01050000000000001,0.03799999999999998,0.012500000000000011,0.0015000000000000013,0.0010000000000000009,0.11049999999999999
21,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.981,0.981,0.981,0.0020000000000000018,0.0020000000000000018,0.0010000000000000009,0.0005000000000000004,0.03799999999999998,0.03799999999999998,0.03799999999999998,0.0010000000000000009,0.0020000000000000018,0.7575000000000001,0.0030000000000000027
22,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0010000000000000009,0.008000000000000007,0.9685,0.995,0.0010000000000000009,0.009500000000000008,0.020500000000000018,0.04949999999999999,0.0010000000000000009,0.09000000000000002,0.998,0.0010000000000000009,0.003500000000000003,0.015000000000000013
23,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.015000000000000013,0.005500000000000005,0.1245,0.0005000000000000004,0.0015000000000000013,0.005500000000000005,0.005500000000000005,0.005500000000000005,0.003500000000000003,0.003500000000000003,0.016000000000000014,0.016000000000000014,0.016000000000000014,0.016000000000000014
24,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.999,0.999,0.0005000000000000004,0.0030000000000000027,0.16249999999999998,0.006500000000000006,0.0010000000000000009,0.005500000000000005,0.995,0.0015000000000000013,0.07900000000000001
25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.006500000000000006,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.9795,0.016000000000000014,0.0010000000000000009,0.0005000000000000004,0.9975,0.0015000000000000013,0.0005000000000000004,0.0040000000000000036
26,0.0050000000000000044,0.9975,0.0010000000000000009,0.007500000000000007,0.005500000000000005,0.009500000000000008,0.03899999999999998,0.0025000000000000022,0.009000000000000008,0.02300000000000002,0.01100000000000001,0.003500000000000003,0.9339999999999999,0.0015000000000000013,0.0010000000000000009,0.0005000000000000004,0.0010000000000000009,0.026500000000000024,0.0005000000000000004,0.0025000000000000022,0.0015000000000000013,0.014000000000000012,0.0015000000000000013,0.05249999999999999,0.15400000000000003,0.0010000000000000009,0.003500000000000003,0.911,0.0015000000000000013,0.0015000000000000013,0.0010000000000000009,0.0010000000000000009,0.006500000000000006,0.0005000000000000004,0.0010000000000000009
